Period Ending,Country,CLDR Territory Code,Legal Process,User Data Requests,Percentage of requests where some data produced,Users/Accounts Specified
12/31/2009,Argentina,AR,,98,,
12/31/2009,Australia,AU,,155,,
12/31/2009,Belgium,BE,,67,,
12/31/2009,Brazil,BR,,3663,,
12/31/2009,Canada,CA,,41,,
12/31/2009,Switzerland,CH,,42,,
12/31/2009,Chile,CL,,110,,
12/31/2009,Germany,DE,,458,,
12/31/2009,Spain,ES,,324,,
12/31/2009,France,FR,,846,,
12/31/2009,United Kingdom,GB,,1166,,
12/31/2009,Israel,IL,,30,,
12/31/2009,India,IN,,1061,,
12/31/2009,Italy,IT,,550,,
12/31/2009,Japan,JP,,44,,
12/31/2009,South Korea,KR,,44,,
12/31/2009,Netherlands,NL,,67,,
12/31/2009,Poland,PL,,86,,
12/31/2009,Portugal,PT,,45,,
12/31/2009,Singapore,SG,,62,,
12/31/2009,United States,US,,3580,,
06/30/2010,Argentina,AR,,134,,
06/30/2010,Australia,AU,,200,,
06/30/2010,Belgium,BE,,71,,
06/30/2010,Brazil,BR,,2435,,
06/30/2010,Switzerland,CH,,35,,
06/30/2010,Chile,CL,,115,,
06/30/2010,Germany,DE,,668,,
06/30/2010,Spain,ES,,372,,
06/30/2010,France,FR,,1017,,
06/30/2010,United Kingdom,GB,,1343,,
06/30/2010,Hong Kong,HK,,50,,
06/30/2010,Israel,IL,,30,,
06/30/2010,India,IN,,1430,,
06/30/2010,Italy,IT,,651,,
06/30/2010,Japan,JP,,56,,
06/30/2010,South Korea,KR,,170,,
06/30/2010,Portugal,PT,,73,,
06/30/2010,Singapore,SG,,106,,
06/30/2010,Turkey,TR,,51,,
06/30/2010,Taiwan,TW,,130,,
06/30/2010,United States,US,,4287,,
12/31/2010,Argentina,AR,,127,40,
12/31/2010,Australia,AU,,345,81,
12/31/2010,Belgium,BE,,85,73,
12/31/2010,Brazil,BR,,1804,76,
12/31/2010,Canada,CA,,38,55,
12/31/2010,Chile,CL,,121,66,
12/31/2010,Germany,DE,,768,76,
12/31/2010,Spain,ES,,359,61,
12/31/2010,France,FR,,1021,56,
12/31/2010,United Kingdom,GB,,1162,72,
12/31/2010,Hong Kong,HK,,90,59,
12/31/2010,Hungary,HU,,68,0,
12/31/2010,Israel,IL,,54,76,
12/31/2010,India,IN,,1699,79,
12/31/2010,Italy,IT,,837,60,
12/31/2010,Japan,JP,,72,90,
12/31/2010,South Korea,KR,,190,45,
12/31/2010,Mexico,MX,,34,56,
12/31/2010,Netherlands,NL,,43,67,
